neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,days_from_last_review,distance_to_city_center
Brooklyn,Kensington,40.64749,-73.97237,Private room,149,1,9,0.21,6,365,263,7.789888843414788
Manhattan,Midtown,40.75362,-73.98377,Entire home/apt,225,1,45,0.38,2,355,49,4.9065759542935865
Manhattan,Harlem,40.80902,-73.9419,Private room,150,3,0,0.0,1,365,3025,11.97780874682486
Brooklyn,Clinton Hill,40.68514,-73.95976,Entire home/apt,89,1,270,4.64,1,194,4,4.970671699339718
Manhattan,East Harlem,40.79851,-73.94399,Entire home/apt,80,10,9,0.1,1,0,232,10.863384720642655
Manhattan,Murray Hill,40.74767,-73.975,Entire home/apt,200,3,74,0.59,1,129,17,4.67467116952695
Brooklyn,Bedford-Stuyvesant,40.68688,-73.95596,Private room,60,45,49,0.4,1,0,642,5.1157444613133505
Manhattan,Hell's Kitchen,40.76489,-73.98493,Private room,79,2,430,3.47,1,220,15,6.052123968389645
Manhattan,Upper West Side,40.80178,-73.96723,Private room,79,2,118,0.99,1,0,718,10.409392344436611
Manhattan,Chinatown,40.71344,-73.99037,Entire home/apt,150,1,160,1.33,4,188,30,1.3226290388510418
Manhattan,Upper West Side,40.80316,-73.96545,Entire home/apt,135,5,53,0.43,1,6,17,10.602547799598154
Manhattan,Hell's Kitchen,40.76076,-73.98867,Private room,85,2,188,1.5,1,39,16,5.523411785769522
Brooklyn,South Slope,40.66829,-73.98779,Private room,89,4,167,1.34,3,314,15,5.176870408327547
Manhattan,Upper West Side,40.79826,-73.96113,Private room,85,2,113,0.91,1,333,4,10.218711545836035
Manhattan,West Village,40.7353,-74.00525,Entire home/apt,120,90,27,0.22,1,0,251,2.4993963190840964
Brooklyn,Williamsburg,40.70837,-73.95352,Entire home/apt,140,2,148,1.2,1,46,10,4.46187419480288
Brooklyn,Fort Greene,40.69169,-73.97185,Entire home/apt,215,2,198,1.72,1,321,11,3.71820057503459
Manhattan,Chelsea,40.74192,-73.99501,Private room,140,1,260,2.12,1,12,8,3.364381371554119
Brooklyn,Crown Heights,40.67592,-73.94694,Entire home/apt,99,3,53,4.44,1,21,17,6.456922213109694
Manhattan,East Harlem,40.79685,-73.94872,Entire home/apt,190,7,0,0.0,2,249,3025,10.512608443710372
Brooklyn,Williamsburg,40.71842,-73.95718,Entire home/apt,299,3,9,0.07,1,0,2750,4.172026668848087
Brooklyn,Park Slope,40.68069,-73.97706,Private room,130,2,130,1.09,6,347,8,4.324060446010348
Brooklyn,Park Slope,40.67989,-73.97798,Private room,80,1,39,0.37,6,364,189,4.354843553366987
Brooklyn,Park Slope,40.68001,-73.97865,Private room,110,2,71,0.61,6,304,7,4.313051789850494
Brooklyn,Bedford-Stuyvesant,40.68371,-73.94028,Entire home/apt,120,2,88,0.73,2,233,20,6.425567922071809
Brooklyn,Windsor Terrace,40.65599,-73.97519,Private room,60,1,19,1.37,2,85,16,6.825125743457561
Manhattan,Inwood,40.86754,-73.92639,Private room,80,4,0,0.0,1,0,3025,18.450810066129623
Manhattan,Hell's Kitchen,40.76715,-73.98533,Entire home/apt,150,10,58,0.49,1,75,695,6.282951347095148
Manhattan,Inwood,40.86482,-73.92106,Private room,44,3,108,1.11,3,311,24,18.34100297313251
Manhattan,East Village,40.7292,-73.98542,Entire home/apt,180,14,29,0.24,1,67,81,2.5179593740108226
